code,code,decimal_point,name,pre_close,sec,sse,volunit
000118,000118,2,380价值,6980.2568359375,index_cn,sh,100
000119,000119,2,380R成长,3653.2060546875,index_cn,sh,100
000120,000120,2,380R价值,5384.548828125,index_cn,sh,100
000121,000121,2,医药主题,9302.73828125,index_cn,sh,100
000122,000122,2,农业主题,1141.9705810547,index_cn,sh,100
000123,000123,2,180动态,5592.7006835938,index_cn,sh,100
000125,000125,2,180稳定,9068.7138671875,index_cn,sh,100
000126,000126,2,消费50,6468.8842773438,index_cn,sh,100
000128,000128,2,380基本,5642.7895507812,index_cn,sh,100
000129,000129,2,180波动,11402.35546875,index_cn,sh,100
000130,000130,2,380波动,8184.048828125,index_cn,sh,100
000131,000131,2,上证高新,1329.1671142578,index_cn,sh,100
000132,000132,2,上证100,5107.8681640625,index_cn,sh,100
000133,000133,2,上证150,3767.3347167969,index_cn,sh,100
000134,000134,2,上证银行,774.158203125,index_cn,sh,100
000135,000135,2,180高贝,4951.8471679688,index_cn,sh,100
000136,000136,2,180低贝,8296.03515625,index_cn,sh,100
000137,000137,2,380高贝,3896.5334472656,index_cn,sh,100
000138,000138,2,380低贝,5067.1875,index_cn,sh,100
000139,000139,2,上证转债,266.2044067383,index_cn,sh,100
000141,000141,2,380动态,3111.3518066406,index_cn,sh,100
000142,000142,2,380稳定,5832.5283203125,index_cn,sh,100
000145,000145,2,优势资源,3133.5595703125,index_cn,sh,100
000146,000146,2,优势制造,4729.1313476562,index_cn,sh,100
000147,000147,2,优势消费,6268.681640625,index_cn,sh,100
000148,000148,2,消费领先,7025.6586914062,index_cn,sh,100
000149,000149,2,180红利,3371.9104003906,index_cn,sh,100
000150,000150,2,380红利,7253.708984375,index_cn,sh,100
000151,000151,2,上国红利,1162.5279541016,index_cn,sh,100
000152,000152,2,上央红利,1831.15234375,index_cn,sh,100
000153,000153,2,上民红利,2210.1560058594,index_cn,sh,100
000155,000155,2,市值百强,2468.359375,index_cn,sh,100
000158,000158,2,上证环保,1099.5219726562,index_cn,sh,100
000159,000159,2,沪股通,2648.7409667969,index_cn,sh,100
000160,000160,2,沪新丝路,1314.6372070312,index_cn,sh,100
000161,000161,2,沪中国造,1390.8575439453,index_cn,sh,100
000162,000162,2,沪互联+,2139.8725585938,index_cn,sh,100
000170,000170,2,50AH优选,4720.5625,index_cn,sh,100
000171,000171,2,新兴成指,1108.3986816406,index_cn,sh,100
000300,000300,2,沪深300,3351.0942382812,index_cn,sh,100
000802,000802,2,500沪市,4993.8100585938,index_cn,sh,100
000805,000805,2,A股资源,3553.6857910156,index_cn,sh,100
000806,000806,2,消费服务,7120.4028320312,index_cn,sh,100
000807,000807,2,食品饮料,12950.369140625,index_cn,sh,100
000808,000808,2,医药生物,9675.767578125,index_cn,sh,100
000814,000814,2,细分医药,9661.7890625,index_cn,sh,100
000816,000816,2,细分地产,5330.5717773438,index_cn,sh,100
000819,000819,2,有色金属,3632.802734375,index_cn,sh,100
000821,000821,2,300红利,5177.0908203125,index_cn,sh,100
000823,000823,2,800有色,3588.5759277344,index_cn,sh,100
000827,000827,2,中证环保,1200.4572753906,index_cn,sh,100
000828,000828,2,300高贝,2117.4858398438,index_cn,sh,100
000832,000832,2,中证转债,283.1936035156,index_cn,sh,100
000833,000833,2,中高企债,177.7098999023,index_cn,sh,100
000841,000841,2,800医药,9858.400390625,index_cn,sh,100
000842,000842,2,800等权,4743.17578125,index_cn,sh,100
000846,000846,2,ESG 10,1056.2443847656,index_cn,sh,100
000847,000847,2,腾讯济安,1951.8154296875,index_cn,sh,100
000849,000849,2,300非银,8153.3491210938,index_cn,sh,100
000850,000850,2,300有色,2868.4729003906,index_cn,sh,100
000851,000851,2,百发100,11100.787109375,index_cn,sh,100
000852,000852,2,中证1000,5114.2661132812,index_cn,sh,100
000853,000853,2,CSSW丝路,1544.8868408203,index_cn,sh,100
000854,000854,2,500原料,3915.7956542969,index_cn,sh,100
000855,000855,2,央视500,1087.8740234375,index_cn,sh,100
000856,000856,2,500工业,3917.7583007812,index_cn,sh,100
000857,000857,2,500医药,10607.77734375,index_cn,sh,100
000858,000858,2,500信息,5602.3798828125,index_cn,sh,100
000863,000863,2,CS精准医,2506.2194824219,index_cn,sh,100
000865,000865,2,上海国企,1386.8778076172,index_cn,sh,100
000867,000867,2,港中小企,3371.7768554688,index_cn,sh,100
000869,000869,2,HK银行,3410.3249511719,index_cn,sh,100
000891,000891,2,新兴综指,1055.8188476562,index_cn,sh,100
000901,000901,2,小康指数,4846.3833007812,index_cn,sh,100
000903,000903,2,中证100,3496.7373046875,index_cn,sh,100
000904,000904,2,中证200,3416.4580078125,index_cn,sh,100
000905,000905,2,中证500,4867.1215820312,index_cn,sh,100
000906,000906,2,中证800,3603.0356445312,index_cn,sh,100
000908,000908,2,300能源,1734.1988525391,index_cn,sh,100
000909,000909,2,300材料,2105.6418457031,index_cn,sh,100
000910,000910,2,300工业,2021.2924804688,index_cn,sh,100
000911,000911,2,300可选,4754.0546875,index_cn,sh,100
000912,000912,2,300消费,13066.302734375,index_cn,sh,100
000913,000913,2,300医药,10434.6005859375,index_cn,sh,100
000914,000914,2,300金融,5414.1787109375,index_cn,sh,100
000917,000917,2,300公用,1804.5389404297,index_cn,sh,100
000918,000918,2,300成长,3810.0297851562,index_cn,sh,100
000919,000919,2,300价值,4409.5278320312,index_cn,sh,100
000922,000922,2,中证红利,3990.2265625,index_cn,sh,100
000925,000925,2,基本面50,3939.5258789062,index_cn,sh,100
000928,000928,2,中证能源,1882.4339599609,index_cn,sh,100
